iter	Logloss
0	0.6771328823
1	0.6588450056
2	0.6456123047
3	0.6318110352
4	0.6187763672
5	0.607063058
6	0.5954181083
7	0.5820750209
8	0.5693040597
9	0.5582300502
10	0.5489725167
11	0.5411789202
12	0.5328539342
13	0.5235790318
14	0.5145920061
15	0.5080427944
16	0.5014439872
17	0.4961145368
18	0.48988351
19	0.4838266602
20	0.4775832171
21	0.4723872768
22	0.4674401507
23	0.4630683245
24	0.4592231445
25	0.4548603516
26	0.4514853516
27	0.4479840611
28	0.4444907924
29	0.4408112095
30	0.4375270299
31	0.4336415318
32	0.4300711844
33	0.4272195173
34	0.4242641253
35	0.4215232282
36	0.4185669643
37	0.4163193359
38	0.4135452706
39	0.4114814453
40	0.4088755929
41	0.4065456892
42	0.4049106097
43	0.4030908901
44	0.400800293
45	0.3986107003
46	0.3969185965
47	0.393374721
48	0.3917357701
49	0.3899456613
50	0.3879269671
51	0.3855256348
52	0.3843118722
53	0.3827262835
54	0.3811341378
55	0.3796199079
56	0.3780115792
57	0.376338623
58	0.3749507533
59	0.3734911761
60	0.3719827706
61	0.3705725446
62	0.3692575335
63	0.3676452985
64	0.3663493304
65	0.3650451311
66	0.3638138253
67	0.3625632673
68	0.3613763951
69	0.3598126395
70	0.3586955915
71	0.3576273368
72	0.3565115095
73	0.3553081752
74	0.3541717355
75	0.3531842215
76	0.3523464704
77	0.3515221819
78	0.3506804548
79	0.3498792899
80	0.3490381557
81	0.3483952288
82	0.3473953683
83	0.3464522182
84	0.3454600656
85	0.3446650042
86	0.343820452
87	0.3427044503
88	0.3418954381
89	0.3408645717
90	0.3399455566
91	0.3392002999
92	0.3382000209
93	0.33726988
94	0.336437221
95	0.3354236886
96	0.3348493304
97	0.3344064593
98	0.3336386021
99	0.332209089
100	0.3316165946
101	0.3306813616
102	0.3301240932
103	0.3292842494
104	0.3285901576
105	0.3280691267
106	0.3274190499
107	0.3269692383
108	0.3265614537
109	0.3261019113
110	0.3255313546
111	0.3251385324
112	0.3245623605
113	0.324023019
114	0.3234909668
115	0.3231123744
116	0.3225927386
117	0.3221907785
118	0.3216366839
119	0.3211339983
120	0.3205830776
121	0.3201234305
122	0.3196723284
123	0.3193528878
124	0.3187495466
125	0.3180987723
126	0.3176040737
127	0.3169655413
128	0.3164717494
129	0.3157154715
130	0.315085798
131	0.3145208566
132	0.3139295131
133	0.3135896694
134	0.3130601283
135	0.312633231
136	0.3118452846
137	0.3113404018
138	0.3109060059
139	0.3103372628
140	0.3099801549
141	0.3095920061
142	0.309183524
143	0.3087698103
144	0.3084489397
145	0.3078443778
146	0.3069400809
147	0.3061377651
148	0.3054731445
149	0.3052205287
150	0.3048177665
151	0.3044106097
152	0.3040250767
153	0.3036020857
154	0.303257394
155	0.3029077148
156	0.3025120675
157	0.3021988002
158	0.3017532785
159	0.3014859096
160	0.3010217634
161	0.3006358817
162	0.3002620675
163	0.2999190848
164	0.299212228
165	0.2989005999
166	0.2986224191
167	0.298250558
168	0.297961635
169	0.2975563267
170	0.2969786203
171	0.2965165318
172	0.2961579939
173	0.2956757115
174	0.2952632533
175	0.2949038086
176	0.2946387765
177	0.2943069196
178	0.2940777762
179	0.2938469587
180	0.2933979492
181	0.293173584
182	0.2927749721
183	0.2924889788
184	0.2921179548
185	0.2915557687
186	0.2913488421
187	0.2909567871
188	0.2905816127
189	0.2900637381
190	0.2898951765
191	0.2895610177
192	0.2890702776
193	0.2886703927
194	0.288297154
195	0.2879918039
196	0.2876445836
197	0.2873565499
198	0.2869818638
199	0.286695173
200	0.2861464146
201	0.2858172782
202	0.2855009242
203	0.2850612967
204	0.2847219587
205	0.2844899728
206	0.2843407157
207	0.2840667899
208	0.2837141636
209	0.2833696987
210	0.2829226597
211	0.2826766881
212	0.282180978
213	0.281729841
214	0.2811484026
215	0.2807394845
216	0.280478411
