iter	Passed	Remaining
0	134	134642
1	138	68912
2	141	46959
3	144	36001
4	147	29418
5	151	25040
6	154	21886
7	157	19589
8	161	17766
9	164	16311
10	167	15095
11	171	14110
12	174	13262
13	178	12566
14	181	11932
15	185	11380
16	189	10930
17	192	10500
18	195	10104
19	199	9758
20	202	9432
21	205	9133
22	208	8864
23	212	8623
24	215	8390
25	218	8177
26	221	7982
27	224	7800
28	228	7636
29	231	7476
30	234	7330
31	237	7191
32	240	7058
33	244	6935
34	247	6818
35	250	6711
36	253	6607
37	257	6509
38	260	6415
39	263	6326
40	266	6240
41	269	6156
42	273	6076
43	276	5999
44	279	5927
45	282	5859
46	285	5793
47	288	5729
48	292	5667
49	295	5608
50	298	5551
51	301	5497
52	304	5445
53	307	5393
54	311	5344
55	314	5294
56	317	5250
57	320	5204
58	323	5161
59	326	5120
60	330	5080
61	333	5043
62	336	5005
63	339	4971
64	343	4937
65	346	4906
66	349	4871
67	353	4839
68	356	4808
69	359	4778
70	363	4749
71	366	4721
72	369	4692
73	372	4664
74	375	4637
75	379	4612
76	382	4585
77	385	4559
78	388	4534
79	392	4509
80	395	4486
81	398	4463
82	401	4440
83	405	4417
84	408	4399
85	411	4378
86	415	4358
87	418	4337
88	421	4316
89	424	4295
90	428	4277
91	431	4258
92	434	4240
93	438	4222
94	441	4207
95	445	4191
96	449	4183
97	452	4167
98	458	4169
99	461	4157
100	465	4147
101	470	4146
102	474	4131
103	478	4124
104	483	4119
105	487	4107
106	491	4102
107	495	4091
108	499	4086
109	504	4083
110	508	4073
111	512	4066
112	517	4063
113	521	4050
114	525	4047
115	530	4041
116	533	4028
117	538	4024
118	542	4015
119	546	4005
120	552	4012
121	556	4007
122	560	3996
123	565	3992
124	569	3985
125	573	3975
126	577	3970
127	581	3958
128	586	3957
129	591	3957
130	595	3949
131	599	3942
132	604	3939
133	607	3927
134	612	3926
135	618	3929
136	624	3931
137	628	3923
138	632	3920
139	637	3917
140	642	3912
141	646	3906
142	652	3907
143	656	3900
144	661	3898
145	665	3895
146	670	3891
147	674	3882
148	679	3883
149	685	3884
150	689	3875
151	693	3867
152	698	3865
153	702	3858
154	706	3853
155	711	3847
156	714	3838
157	719	3833
158	723	3825
159	726	3814
160	729	3804
161	733	3792
162	736	3781
163	739	3770
164	742	3759
165	746	3748
166	749	3738
167	752	3727
168	755	3717
169	759	3705
170	762	3696
171	765	3685
172	768	3674
173	771	3663
174	774	3652
175	777	3641
176	780	3631
177	784	3621
178	787	3610
179	790	3600
180	793	3591
181	796	3580
182	800	3571
183	803	3562
184	806	3552
185	809	3543
186	812	3534
187	816	3525
188	819	3516
189	822	3507
190	825	3497
191	828	3488
192	832	3479
193	835	3469
194	838	3460
195	841	3452
196	844	3442
197	847	3433
198	850	3424
199	853	3414
200	856	3405
201	859	3397
202	863	3388
203	866	3379
204	869	3370
205	872	3362
206	875	3353
207	878	3345
208	881	3336
209	885	3329
210	888	3321
211	891	3313
212	894	3304
213	897	3296
214	900	3288
215	903	3280
216	907	3272
217	910	3264
218	913	3257
219	916	3249
220	919	3241
221	922	3234
222	925	3226
223	928	3218
224	931	3210
225	935	3202
226	938	3195
227	941	3187
228	944	3180
229	947	3172
230	950	3165
